               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.011132,            0.023554,           0.0011679,             0.94126,             0.87946,             0.89936,             0.64271,           0.0089319,            0.021475,           0.0011237,            0.003169,            0.003169,            0.003169
                  71,            0.011434,            0.023849,           0.0010987,             0.95401,             0.88601,             0.89852,             0.64381,           0.0095635,             0.02146,            0.001058,             0.00307,             0.00307,             0.00307
                  72,            0.011485,            0.023641,           0.0010447,             0.93493,             0.87588,             0.89649,             0.63517,           0.0092569,            0.021473,            0.001093,            0.002971,            0.002971,            0.002971
                  73,            0.011159,            0.023325,           0.0010036,             0.94167,             0.88705,             0.90618,             0.64161,           0.0087536,             0.02144,           0.0010818,            0.002872,            0.002872,            0.002872
                  74,            0.010605,            0.023352,           0.0011559,             0.93406,             0.87571,             0.89854,             0.63809,           0.0091317,            0.021686,           0.0013822,            0.002773,            0.002773,            0.002773
                  75,            0.011176,            0.023765,           0.0011864,             0.93653,             0.89297,             0.91827,             0.64826,           0.0088897,            0.021358,           0.0013436,            0.002674,            0.002674,            0.002674
                  76,            0.010657,            0.022814,          0.00096822,             0.96001,              0.8846,             0.90973,             0.65402,           0.0089138,            0.021397,           0.0011555,            0.002575,            0.002575,            0.002575
                  77,            0.010212,            0.022813,          0.00099279,             0.94647,             0.86256,             0.90538,             0.64722,           0.0082493,            0.021228,           0.0013838,            0.002476,            0.002476,            0.002476
                  78,           0.0098917,            0.022737,          0.00086002,               0.956,             0.87196,              0.9091,             0.64878,           0.0083251,            0.021694,           0.0010906,            0.002377,            0.002377,            0.002377
                  79,            0.010221,             0.02302,          0.00090407,             0.94551,             0.88865,              0.9096,             0.65491,           0.0083173,            0.021572,          0.00099084,            0.002278,            0.002278,            0.002278
                  80,           0.0097066,            0.022847,          0.00095399,             0.94709,             0.88351,             0.91403,             0.64769,           0.0084288,            0.021639,          0.00099692,            0.002179,            0.002179,            0.002179
                  81,           0.0099254,            0.022115,           0.0011693,             0.93933,             0.88436,             0.91105,             0.65545,           0.0081964,            0.021327,           0.0010146,             0.00208,             0.00208,             0.00208
                  82,           0.0099778,            0.022412,          0.00095955,             0.94782,             0.87204,             0.89729,             0.64479,            0.008282,             0.02149,            0.000998,            0.001981,            0.001981,            0.001981
                  83,           0.0095122,             0.02212,          0.00080524,             0.96438,              0.8779,             0.91432,             0.64904,            0.008362,            0.021484,           0.0009642,            0.001882,            0.001882,            0.001882
                  84,           0.0095113,            0.022578,           0.0007956,             0.96259,             0.87816,             0.91289,             0.65715,           0.0080843,             0.02117,          0.00088545,            0.001783,            0.001783,            0.001783
                  85,           0.0089239,            0.022252,          0.00086079,             0.96128,              0.8769,             0.91508,             0.65161,           0.0081183,            0.021514,           0.0009274,            0.001684,            0.001684,            0.001684
                  86,           0.0091813,            0.022002,          0.00082381,             0.96385,             0.86721,             0.90997,             0.64458,           0.0079898,            0.021358,          0.00094525,            0.001585,            0.001585,            0.001585
                  87,           0.0087777,            0.021474,          0.00072484,             0.94691,             0.86513,             0.90672,             0.65096,           0.0080413,            0.021467,          0.00089307,            0.001486,            0.001486,            0.001486
                  88,           0.0091514,            0.021902,          0.00072122,             0.95575,             0.87854,             0.91804,             0.65365,           0.0077619,            0.021494,          0.00088509,            0.001387,            0.001387,            0.001387
                  89,           0.0086454,            0.021918,           0.0008064,             0.94647,             0.87229,             0.91917,              0.6522,           0.0079392,            0.021286,          0.00082312,            0.001288,            0.001288,            0.001288
                  90,            0.008617,            0.021649,          0.00074619,             0.94938,             0.88332,             0.91151,             0.64726,           0.0076656,            0.021435,          0.00085537,            0.001189,            0.001189,            0.001189
                  91,           0.0082203,            0.020941,          0.00076487,             0.93213,             0.88624,             0.91688,             0.65837,            0.007624,            0.021234,          0.00084107,             0.00109,             0.00109,             0.00109
                  92,           0.0081002,            0.021551,          0.00096285,             0.95573,             0.86979,             0.90726,             0.65027,           0.0076227,            0.021323,          0.00083728,            0.000991,            0.000991,            0.000991
                  93,           0.0081274,              0.0217,          0.00070733,             0.95908,             0.86813,              0.9096,             0.65032,           0.0077295,            0.021198,          0.00081646,            0.000892,            0.000892,            0.000892
                  94,           0.0079939,            0.021346,          0.00060959,             0.95936,             0.86943,             0.91083,             0.64826,           0.0077514,            0.021493,          0.00078136,            0.000793,            0.000793,            0.000793
                  95,           0.0082531,             0.02181,            0.001019,             0.95631,             0.87196,             0.91007,             0.64654,           0.0076491,            0.021563,          0.00077117,            0.000694,            0.000694,            0.000694
                  96,           0.0078568,            0.020844,          0.00073074,             0.95651,             0.87111,             0.91253,               0.652,           0.0074056,             0.02152,          0.00075009,            0.000595,            0.000595,            0.000595
                  97,           0.0079676,            0.021244,          0.00061481,             0.95732,             0.87134,             0.91239,              0.6605,           0.0075335,            0.021283,          0.00073226,            0.000496,            0.000496,            0.000496
                  98,           0.0077404,            0.021215,           0.0005778,             0.95604,             0.87271,             0.91147,             0.65681,           0.0074758,            0.021275,          0.00071712,            0.000397,            0.000397,            0.000397
                  99,           0.0077375,            0.020924,          0.00085465,             0.95832,             0.87623,             0.91082,             0.65381,           0.0075697,            0.021177,          0.00071052,            0.000298,            0.000298,            0.000298
